Date,Singapore,United Kingdom,United States
2020/1W1,0,0,0
2020/1W2,0,0,0
2020/1W3,0,0,0
2020/1W4,8,1,4
2020/2W1,21,9,3
2020/2W2,35,4,2
2020/2W3,14,10,2
2020/2W4,15,39,11
2020/3W1,42,368,432
2020/3W2,76,2590,2693
2020/3W3,229,7296,31732
2020/3W4,366,21957,122216
2020/4W1,536,31416,219712
2020/4W2,1223,32250,218006
2020/4W3,4056,32470,196864
2020/4W4,6097,33292,198948
2020/5W1,5017,23178,179071
2020/5W2,4702,19291,155993
2020/5W3,3578,15757,154982
2020/5W4,3268,10467,144930
2020/6W1,3026,8091,149555
2020/6W2,2694,7173,149832
2020/6W3,1491,6393,189540
2020/6W4,1409,4604,286163
2020/7W1,1250,2388,357337
2020/7W2,1161,4192,409786
2020/7W3,1951,5195,451590
2020/7W4,2504,4896,456150
2020/8W1,2255,5950,389930
2020/8W2,643,7670,372650
2020/8W3,606,7166,298936
2020/8W4,402,8961,285469
2020/9W1,245,13167,289517
2020/9W2,384,21360,254891
2020/9W3,170,25766,290921
2020/9W4,132,41318,282225
2020/10W1,71,95771,336233
2020/10W2,35,118729,391357
2020/10W3,59,151444,490953
2020/10W4,53,160878,591199
2020/11W1,36,157890,775709
2020/11W2,63,177392,1043255
2020/11W3,41,142807,1210058
2020/11W4,51,103040,1164293
2020/12W1,49,109519,1458524
2020/12W2,60,126559,1530428
2020/12W3,102,191347,1552102
2020/12W4,113,285799,1419287
2021/1W1,216,408648,1678933
2021/1W2,206,323739,1529897
2021/1W3,195,251578,1187695
2021/1W4,228,169921,1030324
2021/2W1,163,128751,829119
2021/2W2,101,92501,639869
2021/2W3,69,77469,460293
2021/2W4,67,61056,480104
2021/3W1,97,41972,415359
2021/3W2,72,39919,377843
2021/3W3,91,38147,382633
2021/3W4,130,34446,447641
2021/4W1,173,18359,472292
2021/4W2,178,18048,475387
2021/4W3,175,17063,404680
2021/4W4,195,16439,373349
2021/5W1,166,14185,284669
2021/5W2,226,15919,233403
2021/5W3,239,14128,177794
2021/5W4,199,21704,128692
2021/6W1,169,34480,111350
2021/6W2,80,48954,100035
2021/6W3,138,64256,81374
2021/6W4,116,119749,86447
2021/7W1,72,204531,124884
2021/7W2,381,314325,231568
2021/7W3,1106,265518,370330
2021/7W4,936,185787,613453
2021/8W1,685,186602,710994
2021/8W2,408,198371,922756
2021/8W3,306,225779,1043208
2021/8W4,888,231008,1169879
2021/9W1,1456,264258,1056280
2021/9W2,3027,248438,1025704
2021/9W3,6117,203689,1018878
2021/9W4,11911,240295,855311
2021/10W1,21312,243288,636671
2021/10W2,21212,295215,582981
2021/10W3,24466,324913,498092
2021/10W4,25730,284468,518581
2021/11W1,19959,244904,517559
2021/11W2,18870,260186,561183
2021/11W3,14985,285546,656030
2021/11W4,9751,299620,632608
2021/12W1,6280,331671,778529
2021/12W2,4151,356478,832480
2021/12W3,2548,543237,947470
2021/12W4,2039,922492,2283974
2022/1W1,4855,1200525,4341301
2022/1W2,6202,745337,5648931
2022/1W3,21923,644317,4953827
2022/1W4,34159,535515,3617281
2022/2W1,43470,571538,1700027
2022/2W2,79424,506130,1242199
2022/2W3,113143,311108,698509
2022/2W4,124063,238333,493519
2022/3W1,126463,274178,265508
2022/3W2,106615,414480,249254
2022/3W3,75581,567711,212833
2022/3W4,51807,675660,233241
2022/4W1,29101,282657,204609
2022/4W2,22299,200018,237591
2022/4W3,21868,186878,354807
2022/4W4,12929,123622,429808
2022/5W1,21588,66682,458887
2022/5W2,24962,66383,611756
2022/5W3,26751,59198,798544
2022/5W4,26179,51514,731000
2022/6W1,21966,7783,767983
2022/6W2,22272,77022,750366
2022/6W3,26505,90408,732320
2022/6W4,48559,159254,853189
2022/7W1,60365,117281,655382
2022/7W2,65742,193190,952696
2022/7W3,63110,138951,861027
2022/7W4,54900,92699,911230
2022/8W1,45519,64420,782644
2022/8W2,34494,51927,804895
2022/8W3,22797,39961,599582
2022/8W4,15664,42703,698009
2022/9W1,13168,20826,452750
2022/9W2,15338,30786,406501
2022/9W3,16066,36647,404246
2022/9W4,23192,71260,435694
2022/10W1,35226,48550,243870
2022/10W2,58868,63520,251073
2022/10W3,52098,56729,260420
2022/10W4,33433,37593,259957
